user,time,age,occupation,interest,frequency,asphalt,dirt,woodland,rock,path1,path2,path3,path4,path5,path6,path7,path8,path9,path10,path11,path12,path13,path14,path15,path16,path17,path18,path19,path20,path21,path22,path23,path24,path25,path26
3968900,11.3666666667,18-25,Employee,3.0,Never,0.0,3.0,3.0,0.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0
3969029,4.76666666667,26-35,Other,2.0,1-2 times,5.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0
3969145,14.15,18-25,Other,4.0,4 times,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0
3969271,7.5,26-35,Other,2.0,1-2 times,2.0,4.0,5.0,0.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,5.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0
3969336,28.5833333333,18-25,Student,3.0,1-2 times,1.0,4.0,5.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0
3969883,8.16666666667,26-35,Student,3.0,Never,0.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,4.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0
3969924,4.85,26-35,Student,2.0,1-2 times,3.0,3.0,5.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3970256,10.2833333333,26-35,Other,5.0,More than 4 times,0.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0
3977161,16.2666666667,18-25,Student,4.0,Never,3.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0
3977315,7.91666666667,51-65,Employee,5.0,1-2 times,0.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0
3977345,3.53333333333,18-25,Other,0.0,Never,2.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0
3977361,17.9166666667,36-50,Other,2.0,Never,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3977405,345.416666667,36-50,Other,2.0,Never,2.0,0.0,3.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3977425,64.3333333333,18-25,Employee,5.0,More than 4 times,1.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
3977510,9.53333333333,26-35,Student,4.0,1-2 times,2.0,3.0,3.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
3977589,14.8833333333,18-25,Student,2.0,Never,0.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
3977704,7.96666666667,18-25,Other,3.0,1-2 times,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0
3977815,12.1666666667,26-35,Employee,5.0,1-2 times,1.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,0.0,0.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0
3977968,153.016666667,26-35,Employee,4.0,1-2 times,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0
3978093,11.9333333333,18-25,Student,2.0,Never,2.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0
3978486,27.7,18-25,Other,1.0,Never,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
3978583,13.7833333333,18-25,Other,2.0,Never,4.0,4.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0
3978733,9.83333333333,18-25,Employee,1.0,Never,2.0,3.0,3.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0
3978916,8.31666666667,36-50,Freelancer,5.0,More than 4 times,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
3979544,16.4666666667,18-25,Student,2.0,Never,4.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0
3980077,2.78333333333,36-50,Freelancer,4.0,4 times,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0
3983589,9.81666666667,26-35,Employee,4.0,Never,1.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0
3984583,7.33333333333,18-25,Student,4.0,Never,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0
